codigo,nombre,tipo,intensidad,ultimaSemana,tiempoMinutos,descripcion
1,Sentadilla A1,1,1,2,15,Flexion de piernas suave
2,Sentadilla A2,1,1,2,15,Flexion de piernas suave
3,Sentadilla A3,1,1,1,15,Flexion de piernas suave
4,Sentadilla A4,1,1,2,15,Flexion de piernas suave
5,Sentadilla A5,1,1,2,15,Flexion de piernas suave
6,Sentadilla B1,1,2,2,20,Flexion de piernas media
7,Sentadilla B2,1,2,2,20,Flexion de piernas media
8,Sentadilla B3,1,2,1,20,Flexion de piernas media
9,Sentadilla B4,1,2,2,20,Flexion de piernas media
10,Sentadilla B5,1,2,2,20,Flexion de piernas media
11,Sentadilla C1,1,3,2,25,Flexion de piernas fuerte
12,Sentadilla C2,1,3,2,25,Flexion de piernas fuerte
13,Sentadilla C3,1,3,1,25,Flexion de piernas fuerte
14,Sentadilla C4,1,3,2,25,Flexion de piernas fuerte
15,Sentadilla C5,1,3,2,25,Flexion de piernas fuerte
16,Sentadilla D1,1,4,2,30,Flexion de piernas extrema
17,Sentadilla D2,1,4,2,30,Flexion de piernas extrema
18,Sentadilla D3,1,4,1,30,Flexion de piernas extrema
19,Sentadilla D4,1,4,2,30,Flexion de piernas extrema
20,Sentadilla D5,1,4,2,30,Flexion de piernas extrema
21,Press Pecho A1,1,1,2,15,Empuje horizontal suave
22,Press Pecho A2,1,1,2,15,Empuje horizontal suave
23,Press Pecho A3,1,1,1,15,Empuje horizontal suave
24,Press Pecho A4,1,1,2,15,Empuje horizontal suave
25,Press Pecho A5,1,1,2,15,Empuje horizontal suave
26,Press Pecho B1,1,2,2,20,Empuje horizontal medio
27,Press Pecho B2,1,2,2,20,Empuje horizontal medio
28,Press Pecho B3,1,2,1,20,Empuje horizontal medio
29,Press Pecho B4,1,2,2,20,Empuje horizontal medio
30,Press Pecho B5,1,2,2,20,Empuje horizontal medio
31,Press Pecho C1,1,3,2,25,Empuje horizontal fuerte
32,Press Pecho C2,1,3,2,25,Empuje horizontal fuerte
33,Press Pecho C3,1,3,1,25,Empuje horizontal fuerte
34,Press Pecho C4,1,3,2,25,Empuje horizontal fuerte
35,Press Pecho C5,1,3,2,25,Empuje horizontal fuerte
36,Press Pecho D1,1,4,2,30,Empuje horizontal extremo
37,Press Pecho D2,1,4,2,30,Empuje horizontal extremo
38,Press Pecho D3,1,4,1,30,Empuje horizontal extremo
39,Press Pecho D4,1,4,2,30,Empuje horizontal extremo
40,Press Pecho D5,1,4,2,30,Empuje horizontal extremo
41,Remo Espalda A1,1,1,2,15,Traccion suave
42,Remo Espalda A2,1,1,2,15,Traccion suave
43,Remo Espalda A3,1,1,1,15,Traccion suave
44,Remo Espalda A4,1,1,2,15,Traccion suave
45,Remo Espalda A5,1,1,2,15,Traccion suave
46,Remo Espalda B1,1,2,2,20,Traccion media
47,Remo Espalda B2,1,2,2,20,Traccion media
48,Remo Espalda B3,1,2,1,20,Traccion media
49,Remo Espalda B4,1,2,2,20,Traccion media
50,Remo Espalda B5,1,2,2,20,Traccion media
51,Remo Espalda C1,1,3,2,25,Traccion fuerte
52,Remo Espalda C2,1,3,2,25,Traccion fuerte
53,Remo Espalda C3,1,3,1,25,Traccion fuerte
54,Remo Espalda C4,1,3,2,25,Traccion fuerte
55,Remo Espalda C5,1,3,2,25,Traccion fuerte
56,Remo Espalda D1,1,4,2,30,Traccion extrema
57,Remo Espalda D2,1,4,2,30,Traccion extrema
58,Remo Espalda D3,1,4,1,30,Traccion extrema
59,Remo Espalda D4,1,4,2,30,Traccion extrema
60,Remo Espalda D5,1,4,2,30,Traccion extrema
61,Peso Muerto A1,1,1,2,15,Levantamiento suave
62,Peso Muerto A2,1,1,2,15,Levantamiento suave
63,Peso Muerto A3,1,1,1,15,Levantamiento suave
64,Peso Muerto A4,1,1,2,15,Levantamiento suave
65,Peso Muerto A5,1,1,2,15,Levantamiento suave
66,Peso Muerto B1,1,2,2,20,Levantamiento medio
67,Peso Muerto B2,1,2,2,20,Levantamiento medio
68,Peso Muerto B3,1,2,1,20,Levantamiento medio
69,Peso Muerto B4,1,2,2,20,Levantamiento medio
70,Peso Muerto B5,1,2,2,20,Levantamiento medio
71,Peso Muerto C1,1,3,2,25,Levantamiento fuerte
72,Peso Muerto C2,1,3,2,25,Levantamiento fuerte
73,Peso Muerto C3,1,3,1,25,Levantamiento fuerte
74,Peso Muerto C4,1,3,2,25,Levantamiento fuerte
75,Peso Muerto C5,1,3,2,25,Levantamiento fuerte
